Jaksotus 2026-2027;Kurre 7.37.2.1
Helsingin normaalilyseo;12.03.2026 20:27
;Viikkotunnit

-;Periodi 1;Periodi 2;Periodi 3;Periodi 4;Periodi 5;Yht.;Ryhmä/palkki;;Koko;
;;;;5;;5;1:;KU02.3;2;
;;;5;;;5;8:;KU03.1;2;
;;;;;5;5;8:;KU5.1;0;
;;5;;;;5;8:;KÄ1.1;0;
;;;5;;;5;8:;KÄ2.1;1;
;;;5;;;5;8:;KÄ3.1;1;
;;;5;;;5;8:;KÄLD3.1;0;
;;;;;5;5;1:;LAB12.1;2;
;;;;5;;5;4:;LAB21.1;0;
;;;;;5;5;3:;LAB22.1;0;
;5;;;;;5;8:;LAB23.1;2;
;;5;;;;5;2:;LAB24.1;2;
;;;5;;;5;1:;LAB25.1;2;
;;;;5;;5;6:;LAB26.1;1;
;;5;;;;5;4:;LAB31.1;0;
;;;5;;;5;3:;LAB310.1;5;
;;;5;;;5;4:;LAB32.1;0;
;;;;5;;5;4:;LAB33.1;0;
;;;;;5;5;3:;LAB34.1;0;
;5;;;;;5;8:;LAB35.1;0;
;;5;;;;5;2:;LAB36.1;0;
;;;5;;;5;1:;LAB37.1;0;
;;;;5;;5;6:;LAB38.1;0;
;5;;;;;5;7:;LAB39.1;8;
;;3,33;;;;3,33;8 (to ja pe):;LI01.1;0;
;1,67;;;;;1,67;5 pe:;LI01.1;0;
;;3,33;;;;3,33;8 (to ja pe):;LI01.2;0;
;1,67;;;;;1,67;5 pe:;LI01.2;0;
;3,33;;;;;3,33;5 ti ja ke:;LI01.3;0;
;;1,67;;;;1,67;8 (ti):;LI01.3;0;
;;1,67;;;;1,67;8 (ti):;LI01.4;0;
;3,33;;;;;3,33;5 ti ja ke:;LI01.4;0;
;;5;;;;5;7:;LI010.1;0;
;;;;5;;5;6:;LI010.2;4;
;;;;;3,33;3,33;7 (ma, ti):;LI02.1;2;
;;;;1,67;;1,67;7 (to):;LI02.1;2;
;;;;;3,33;3,33;7 (ma, ti):;LI02.2;0;
;;;;1,67;;1,67;7 (to):;LI02.2;0;
;;;;3,33;;3,33;7 :;LI02.3;6;
;;;;;1,67;1,67;7 (to):;LI02.3;6;
;;;;;1,67;1,67;7 (to):;LI02.4;4;
;;;;3,33;;3,33;7 :;LI02.4;4;
;;;;;5;5;1:;LI03.1;0;
;;;5;;;5;7:;LI04.1;11;
;;;5;;;5;7:;LI04.2;3;
;;;5;;;5;8:;LI04.3;28;
;;;5;;;5;8:;LI04.4;10;
;5;;;;;5;7:;LI05.1;2;
;;5;;;;5;8:;LI05.2;0;
;;;;;5;5;1:;LI08.1;10;
;5;;;;;5;7:;MAA015HBR.1;0;
;;;;;5;5;2:;MAA02+MAA04.1;0;
;;;;;5;5;4:;MAA02+MAA04.2;0;
;;;;;5;5;6:;MAA02+MAA04.3;0;
;;5;;;;5;2:;MAA02.1;0;
;;5;;;;5;5:;MAA02.2;0;
;;5;;;;5;6:;MAA02.3;0;
;;;5;;;5;2:;MAA03.1;0;
;;;5;;;5;6:;MAA03.2;0;
;;;5;;;5;6:;MAA03.3;0;
;;;;5;;5;2:;MAA04.1;0;
;;;;5;;5;5:;MAA04.2;0;
;;;;5;;5;3:;MAA04.3;0;
;5;;;;;5;2:;MAA05.1;46;
;5;;;;;5;5:;MAA05.2;14;
;5;;;;;5;3:;MAA05.3;17;
;;5;;;;5;2:;MAA06.1;0;
;;;5;;;5;3:;MAA06.1;32;
;;5;;;;5;5:;MAA06.2;0;
;;;5;;;5;4:;MAA06.2;23;
